,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-BH-A18U,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,52,98,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.6578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.662016769310679,26.53526033847957,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A0DD,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,60,0,0,0,0,0.0,14.903846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.48900008627383,21.78705831293995,0.0,0.0,0.0,Cogain
TCGA-E9-A1R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,117,0,0,0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.232558139534884,40.59222204292399,0.0,0.0,0.0,Cogain
TCGA-BH-A204,29,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.102803738317757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16433200919925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A7-A4SA,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.57657657657657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.415967654335887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-EW-A1PC,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.954159592529706,0.0,0.0,0.0,0.0,Cogain
TCGA-C8-A12O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,174,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19269102990033,0.0,0.0,50.70038044162205,0.0,0.0,0.0,0.0,Cogain
TCGA-4H-AAAK,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33.95522388059702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.61796253274677,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A18S,29,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.93975903614458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.786086423536624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A0BZ,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A8-A07W,0,34,31,0,0,0,0,33,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0.0,24.63768115942029,19.060773480662984,0.0,0.0,0.0,0.0,18.16195964097104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.013968320785064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-OL-A6VO,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-BH-A0DE,26,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
